french_name;scientific_name;Species Occurrence in Canada _Occurrence de l'espèce au Canada;pop_change_2016;pop_change_cat;data_source;reg_occ_native_sp;range_expanded_1970;sauvagine;oiseau_proie;milieux_humides;marin;forestiers;tous_autres;rivage;prairie;insectivores;espece_oie;sauvagine_milieux_humides_canards;prairires_indigene_dependante;prairie_tolerante_agricole;rivage_migrant_grande_distance;rivage_migrant_courte_distance;forest_winter_south_america;forest_winter_canada;forest_fruits_arbres
Troglodyte de Caroline;Thryothorus ludovicianus;Regular Breeder_Espèce qui niche régulièrement;1400;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Troglodyte de Bewick;Thryomanes bewickii;Regular Breeder_Espèce qui niche régulièrement;-53,6;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;
Gobemoucheron gris-bleu;Polioptila caerulea;Regular Breeder_Espèce qui niche régulièrement;822;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Cincle d'Amérique;Cinclus mexicanus;Regular Breeder_Espèce qui niche régulièrement;-10,2;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Roitelet à couronne dorée;Regulus satrapa;Regular Breeder_Espèce qui niche régulièrement;43,2;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Roitelet à couronne rubis;Regulus calendula;Regular Breeder_Espèce qui niche régulièrement;-30;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;;
Gorgebleue à miroir;Luscinia svecica;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Traquet motteux;Oenanthe oenanthe;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Merlebleu de l'Est;Sialia sialis;Regular Breeder_Espèce qui niche régulièrement;151;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Merlebleu de l'Ouest;Sialia mexicana;Regular Breeder_Espèce qui niche régulièrement;602;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Merlebleu azuré;Sialia currucoides;Regular Breeder_Espèce qui niche régulièrement;-18,6;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Solitaire de Townsend;Myadestes townsendi;Regular Breeder_Espèce qui niche régulièrement;31,2;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive fauve;Catharus fuscescens;Regular Breeder_Espèce qui niche régulièrement;-20,9;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive à joues grises;Catharus minimus;Regular Breeder_Espèce qui niche régulièrement;-64,1;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive de Bicknell;Catharus bicknelli;Regular Breeder_Espèce qui niche régulièrement;-90,9;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive à dos olive;Catharus ustulatus;Regular Breeder_Espèce qui niche régulièrement;1,02;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive solitaire;Catharus guttatus;Regular Breeder_Espèce qui niche régulièrement;-23,9;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive des bois;Hylocichla mustelina;Regular Breeder_Espèce qui niche régulièrement;-72,5;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Merle d'Amérique;Turdus migratorius;Regular Breeder_Espèce qui niche régulièrement;7,37;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Grive à collier;Ixoreus naevius;Regular Breeder_Espèce qui niche régulièrement;29,8;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;1
Moqueur chat;Dumetella carolinensis;Regular Breeder_Espèce qui niche régulièrement;-8,33;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Moqueur roux;Toxostoma rufum;Regular Breeder_Espèce qui niche régulièrement;-38,5;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Moqueur des armoises;Oreoscoptes montanus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Moqueur polyglotte;Mimus polyglottos;Regular Breeder_Espèce qui niche régulièrement;17,8;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Étourneau sansonnet;Sturnus vulgaris;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-65,6;Decreasing_Diminution;BBS;;;;;;;;;;;;;;;;;;;;
Jaseur boréal;Bombycilla garrulus;Regular Breeder_Espèce qui niche régulièrement;-45,3;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;1;1
Jaseur d'Amérique;Bombycilla cedrorum;Regular Breeder_Espèce qui niche régulièrement;14,6;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Moineau domestique;Passer domesticus;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-81,5;Decreasing_Diminution;BBS;;;;;;;;;;;;;;;;;;;;
Bergeronnette de Béringie;Motacilla tschutschensis;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Pipit d'Amérique;Anthus rubescens;Regular Breeder_Espèce qui niche régulièrement;-59,8;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Pipit de Sprague;Anthus spragueii;Regular Breeder_Espèce qui niche régulièrement;-86,5;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Gros-bec errant;Coccothraustes vespertinus;Regular Breeder_Espèce qui niche régulièrement;-88,3;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;1
Durbec des sapins;Pinicola enucleator;Regular Breeder_Espèce qui niche régulièrement;-65,4;Decreasing_Diminution;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;1
Roselin à tête grise;Leucosticte tephrocotis;Regular Breeder_Espèce qui niche régulièrement;121;Increasing_Augmentation;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Roselin familier;Haemorhous mexicanus;Regular Breeder_Espèce qui niche régulièrement;87,2;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Roselin pourpré;Haemorhous purpureus;Regular Breeder_Espèce qui niche régulièrement;-34;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;1
Roselin de Cassin;Haemorhous cassinii;Regular Breeder_Espèce qui niche régulièrement;-55,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;1
Sizerin flammé;Acanthis flammea;Regular Breeder_Espèce qui niche régulièrement;-65;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;1
Sizerin blanchâtre;Acanthis hornemanni;Regular Breeder_Espèce qui niche régulièrement;1460;Increasing_Augmentation;CBC CA_RON CA;1;;;;;;;1;;;;;;;;;;;;
Bec-croisé des sapins;Loxia curvirostra;Regular Breeder_Espèce qui niche régulièrement;165;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;1
Bec-croisé bifascié;Loxia leucoptera;Regular Breeder_Espèce qui niche régulièrement;-50,4;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;1;1
Tarin des pins;Spinus pinus;Regular Breeder_Espèce qui niche régulièrement;-66,9;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;1
Chardonneret jaune;Spinus tristis;Regular Breeder_Espèce qui niche régulièrement;-28,1;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;
Plectrophane lapon;Calcarius lapponicus;Regular Breeder_Espèce qui niche régulièrement;-64,9;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Plectrophane à ventre noir;Calcarius ornatus;Regular Breeder_Espèce qui niche régulièrement;-91,7;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Plectrophane de Smith;Calcarius pictus;Regular Breeder_Espèce qui niche régulièrement;3250;Increasing_Augmentation;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Plectrophane de McCown;Rhynchophanes mccownii;Regular Breeder_Espèce qui niche régulièrement;-95,9;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Plectrophane des neiges;Plectrophenax nivalis;Regular Breeder_Espèce qui niche régulièrement;-60,8;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Tohi tacheté;Pipilo maculatus;Regular Breeder_Espèce qui niche régulièrement;52,2;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Tohi à flancs roux;Pipilo erythrophthalmus;Regular Breeder_Espèce qui niche régulièrement;-46,6;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant hudsonien;Spizelloides arborea;Regular Breeder_Espèce qui niche régulièrement;-67,2;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Bruant familier;Spizella passerina;Regular Breeder_Espèce qui niche régulièrement;-45,2;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant des plaines;Spizella pallida;Regular Breeder_Espèce qui niche régulièrement;-40,9;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant de Brewer;Spizella breweri;Regular Breeder_Espèce qui niche régulièrement;18,7;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant des champs;Spizella pusilla;Regular Breeder_Espèce qui niche régulièrement;-47,2;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant vespéral;Pooecetes gramineus;Regular Breeder_Espèce qui niche régulièrement;-61,4;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;;;;;;
Bruant à joues marron;Chondestes grammacus;Regular Breeder_Espèce qui niche régulièrement;69,9;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant noir et blanc;Calamospiza melanocorys;Regular Breeder_Espèce qui niche régulièrement;-91,4;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Bruant des prés;Passerculus sandwichensis;Regular Breeder_Espèce qui niche régulièrement;-49,3;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;1;;;;;
Bruant sauterelle;Ammodramus savannarum;Regular Breeder_Espèce qui niche régulièrement;14,8;Stable_Stables;BBS;1;;;;;;;;;1;;;;;1;;;;;
Bruant de Baird;Ammodramus bairdii;Regular Breeder_Espèce qui niche régulièrement;-57,6;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Bruant de Henslow;Ammodramus henslowii;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;;;1;;;;;1;;;;;
Bruant de LeConte;Ammodramus leconteii;Regular Breeder_Espèce qui niche régulièrement;-32,6;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;1;;;;;
Bruant de Nelson;Ammodramus nelsoni;Regular Breeder_Espèce qui niche régulièrement;65,7;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Bruant fauve;Passerella iliaca;Regular Breeder_Espèce qui niche régulièrement;317;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Bruant chanteur;Melospiza melodia;Regular Breeder_Espèce qui niche régulièrement;-43,6;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant de Lincoln;Melospiza lincolnii;Regular Breeder_Espèce qui niche régulièrement;41;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant des marais;Melospiza georgiana;Regular Breeder_Espèce qui niche régulièrement;22,6;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Bruant à gorge blanche;Zonotrichia albicollis;Regular Breeder_Espèce qui niche régulièrement;-55,9;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;;
Bruant à face noire;Zonotrichia querula;Regular Breeder_Espèce qui niche régulièrement;-72;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Bruant à couronne blanche;Zonotrichia leucophrys;Regular Breeder_Espèce qui niche régulièrement;-75,8;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Bruant à couronne dorée;Zonotrichia atricapilla;Regular Breeder_Espèce qui niche régulièrement;94;Increasing_Augmentation;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Junco ardoisé;Junco hyemalis;Regular Breeder_Espèce qui niche régulièrement;-12,4;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Ictérie polyglotte;Icteria virens;Regular Breeder_Espèce qui niche régulièrement;7,94;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Carouge à tête jaune;Xanthocephalus xanthocephalus;Regular Breeder_Espèce qui niche régulièrement;108;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Goglu des prés;Dolichonyx oryzivorus;Regular Breeder_Espèce qui niche régulièrement;-70,2;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;1;;;;;
Sturnelle des prés;Sturnella magna;Regular Breeder_Espèce qui niche régulièrement;-84,7;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;1;;;;;
Sturnelle de l'Ouest;Sturnella neglecta;Regular Breeder_Espèce qui niche régulièrement;-53,4;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;;;;;;
Oriole des vergers;Icterus spurius;Regular Breeder_Espèce qui niche régulièrement;662;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Oriole de Bullock;Icterus bullockii;Regular Breeder_Espèce qui niche régulièrement;183;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Oriole de Baltimore;Icterus galbula;Regular Breeder_Espèce qui niche régulièrement;-58,1;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Carouge à épaulettes;Agelaius phoeniceus;Regular Breeder_Espèce qui niche régulièrement;-3,54;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Vacher à tête brune;Molothrus ater;Regular Breeder_Espèce qui niche régulièrement;-32,5;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Quiscale rouilleux;Euphagus carolinus;Regular Breeder_Espèce qui niche régulièrement;-66,3;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;;
Quiscale de Brewer;Euphagus cyanocephalus;Regular Breeder_Espèce qui niche régulièrement;-63,7;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Quiscale bronzé;Quiscalus quiscula;Regular Breeder_Espèce qui niche régulièrement;-26,2;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Paruline couronnée;Seiurus aurocapilla;Regular Breeder_Espèce qui niche régulièrement;15,3;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline vermivore;Helmitheros vermivorum;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Paruline hochequeue;Parkesia motacilla;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;;
Paruline des ruisseaux;Parkesia noveboracensis;Regular Breeder_Espèce qui niche régulièrement;51,6;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à ailes dorées;Vermivora chrysoptera;Regular Breeder_Espèce qui niche régulièrement;139;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à ailes bleues;Vermivora cyanoptera;Regular Breeder_Espèce qui niche régulièrement;963;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Paruline noir et blanc;Mniotilta varia;Regular Breeder_Espèce qui niche régulièrement;8,15;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline orangée;Protonotaria citrea;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;;
Paruline obscure;Oreothlypis peregrina;Regular Breeder_Espèce qui niche régulièrement;-39,2;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline verdâtre;Oreothlypis celata;Regular Breeder_Espèce qui niche régulièrement;39,9;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à joues grises;Oreothlypis ruficapilla;Regular Breeder_Espèce qui niche régulièrement;8,29;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à gorge grise;Oporornis agilis;Regular Breeder_Espèce qui niche régulièrement;-47,2;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline des buissons;Geothlypis tolmiei;Regular Breeder_Espèce qui niche régulièrement;-14,9;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline triste;Geothlypis philadelphia;Regular Breeder_Espèce qui niche régulièrement;-47,5;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline masquée;Geothlypis trichas;Regular Breeder_Espèce qui niche régulièrement;-14,5;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Paruline à capuchon;Setophaga citrina;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;;
Paruline flamboyante;Setophaga ruticilla;Regular Breeder_Espèce qui niche régulièrement;0,0585;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline de Kirtland;Setophaga kirtlandii;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Paruline tigrée;Setophaga tigrina;Regular Breeder_Espèce qui niche régulièrement;248;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline azurée;Setophaga cerulea;Regular Breeder_Espèce qui niche régulièrement;-70,1;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline à collier;Setophaga americana;Regular Breeder_Espèce qui niche régulièrement;340;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à tête cendrée;Setophaga magnolia;Regular Breeder_Espèce qui niche régulièrement;61,5;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à poitrine baie;Setophaga castanea;Regular Breeder_Espèce qui niche régulièrement;125;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline à gorge orangée;Setophaga fusca;Regular Breeder_Espèce qui niche régulièrement;42,8;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline jaune;Setophaga petechia;Regular Breeder_Espèce qui niche régulièrement;-17,1;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Paruline à flancs marron;Setophaga pensylvanica;Regular Breeder_Espèce qui niche régulièrement;-38;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline rayée;Setophaga striata;Regular Breeder_Espèce qui niche régulièrement;-83,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline bleue;Setophaga caerulescens;Regular Breeder_Espèce qui niche régulièrement;159;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à couronne rousse;Setophaga palmarum;Regular Breeder_Espèce qui niche régulièrement;114;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline des pins;Setophaga pinus;Regular Breeder_Espèce qui niche régulièrement;266;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à croupion jaune;Setophaga coronata;Regular Breeder_Espèce qui niche régulièrement;54,6;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline des prés;Setophaga discolor;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Paruline grise;Setophaga nigrescens;Regular Breeder_Espèce qui niche régulièrement;-12;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline de Townsend;Setophaga townsendi;Regular Breeder_Espèce qui niche régulièrement;32,1;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline à gorge noire;Setophaga virens;Regular Breeder_Espèce qui niche régulièrement;-7,69;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Paruline du Canada;Cardellina canadensis;Regular Breeder_Espèce qui niche régulièrement;-55,3;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Paruline à calotte noire;Cardellina pusilla;Regular Breeder_Espèce qui niche régulièrement;-22;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Piranga écarlate;Piranga olivacea;Regular Breeder_Espèce qui niche régulièrement;-26,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Piranga à tête rouge;Piranga ludoviciana;Regular Breeder_Espèce qui niche régulièrement;38,4;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Cardinal rouge;Cardinalis cardinalis;Regular Breeder_Espèce qui niche régulièrement;381;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Cardinal à poitrine rose;Pheucticus ludovicianus;Regular Breeder_Espèce qui niche régulièrement;-23,2;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Cardinal à tête noire;Pheucticus melanocephalus;Regular Breeder_Espèce qui niche régulièrement;124;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Passerin azuré;Passerina amoena;Regular Breeder_Espèce qui niche régulièrement;324;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Passerin indigo;Passerina cyanea;Regular Breeder_Espèce qui niche régulièrement;38,1;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Dickcissel d'Amérique;Spiza americana;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;;;1;;;;;1;;;;;
